순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
34위,더니트컴퍼니,[SET] 22SS 쿨맥스 위버쿨 자켓 & 쿨맥스 슬림핏 슬랙스,https://www.musinsa.com/app/goods/2499213?loc=goods_rank,TMJK512220,남,9천 회 이상,100개 이상,232
35위,엄브로,클래식 웜업 자켓 블랙 (UN221CJK41),https://www.musinsa.com/app/goods/1882525?loc=goods_rank,UN221CJK41_BLK,남 여,2.5만 회 이상,3.2천 개 이상,"10,925"
36위,무신사 스탠다드,오버사이즈 블레이저 [더스티 베이지],https://www.musinsa.com/app/goods/1873074?loc=goods_rank,MMJJK101-UI,남,9.2천 회 이상,3.9천 개 이상,"4,445"
37위,유씨 버클리,CAL LIGHT WIND JACKET KS [NAVY],https://www.musinsa.com/app/goods/1969676?loc=goods_rank,KSBJ01,남,1.2천 회 이상,,195
38위,무신사 스탠다드,라이트웨이트 베이식 블레이저 [네이비],https://www.musinsa.com/app/goods/1312177?loc=goods_rank,MMJJK201-NA,남,6.6천 회 이상,1.1천 개 이상,"1,435"
39위,엘무드,화란 세미오버 가디건 버터,https://www.musinsa.com/app/goods/1769203?loc=goods_rank,LMDC001,남 여,5.7천 회 이상,1.8천 개 이상,"2,301"
40위,아노블리어,오버핏 크롭 카라 가디건 [블랙],https://www.musinsa.com/app/goods/2286964?loc=goods_rank,AHS40A19OC,남,8.6천 회 이상,3.4천 개 이상,"8,272"
41위,수아레,린넨 라이크 셋업 수트 오트밀,https://www.musinsa.com/app/goods/1857630?loc=goods_rank,993030,남,4.3만 회 이상,1.2천 개 이상,"3,339"
42위,디스이즈네버댓,T-Light Jacket Black,https://www.musinsa.com/app/goods/2442045?loc=goods_rank,TN221WOWLS02BK,남 여,2.8만 회 이상,600개 이상,"2,406"
43위,노드 아카이브,레이지 보이 싱글 자켓 (네이비),https://www.musinsa.com/app/goods/2330468?loc=goods_rank,N22SSMJ01NV,남,3천 회 이상,100개 이상,332
44위,타미진스,[PLUS사이즈] 시카고 윈드브레이커 자켓 (T32C3WJC73TWT4C87),https://www.musinsa.com/app/goods/2375148?loc=goods_rank,T32C3WJC73TWT4C87,여,300회 이상,,67
45위,레테르코모,시티보이 브이넥 니트베스트_베이지,https://www.musinsa.com/app/goods/1958389?loc=goods_rank,TO21SS0008,남,1.2만 회 이상,1.4천 개 이상,"1,882"
46위,일꼬르소,카키 오버핏 투 톤 볼륨 롱 야상 IEJU2E001K2,https://www.musinsa.com/app/goods/2300826?loc=goods_rank,IEJU2E001K2,남,2.1천 회 이상,100개 이상,452
47위,로라로라,CABLE KNIT VEST IVORY,https://www.musinsa.com/app/goods/2317851?loc=goods_rank,2258875,여,3.9천 회 이상,100개 이상,"1,828"
48위,무신사 스탠다드,릴렉스드 베이식 블레이저 [블랙],https://www.musinsa.com/app/goods/1558197?loc=goods_rank,MMJJK601-BK,남,13.7만 회 이상,4.1만 개 이상,"40,817"
49위,비터셀즈,베이직 후드 집 업 & 베이직 조거 팬츠 셋 업,https://www.musinsa.com/app/goods/2127572?loc=goods_rank,Basic Hood Zip Up & Basic Jogger Pants Set up,여,4.9천 회 이상,1천 개 이상,"3,995"
50위,일꼬르소,[DRY COOL] 라이트그레이 오버핏 하프 집업 아노락 티셔츠 IETS2E607G1,https://www.musinsa.com/app/goods/2569638?loc=goods_rank,IETS2E607G1,남,,,5
51위,스파오,[COOLTECH] 라이트 반팔 아노락_SPJJC25C22,https://www.musinsa.com/app/goods/1863727?loc=goods_rank,SPJJC25C22,남,1만 회 이상,700개 이상,"1,398"
52위,레테르코모,시티보이 브이넥 니트베스트_스카이블루,https://www.musinsa.com/app/goods/1958430?loc=goods_rank,TO21SS0010,남,7.8천 회 이상,600개 이상,"1,089"
53위,코드그라피,[SET] YKK 2-WAY 테크 숏 자켓 셋업_그레이,https://www.musinsa.com/app/goods/1571879?loc=goods_rank,CBAF8JP001GRCBAF8PL002GR,남 여,13.1만 회 이상,1.3만 개 이상,"43,445"
54위,드로우핏,부클레 브이넥 니트 베스트 [CREAM],https://www.musinsa.com/app/goods/2510256?loc=goods_rank,DFKN2272CR,남,2.8천 회 이상,100개 이상,720
55위,어반디타입,아노락 쓰리피스 풀 셋업_민트 그레이,https://www.musinsa.com/app/goods/1776549?loc=goods_rank,SET032,남 여,6.3만 회 이상,1만 개 이상,"17,039"
56위,후아유,시그니처 패치 후드집업 [크림] WHMZC2212U,https://www.musinsa.com/app/goods/2368959?loc=goods_rank,WHMZC2212U,남,3.5천 회 이상,300개 이상,"1,621"
57위,노스페이스,NA3BN05A 엘곤 라이트다운 아노락,https://www.musinsa.com/app/goods/2430198?loc=goods_rank,NA3BN05A,남,1.4만 회 이상,200개 이상,"1,117"
58위,시그니처,세미오버핏 싱글 블레이저 자켓[검정],https://www.musinsa.com/app/goods/727847?loc=goods_rank,BL-004,남,1.5만 회 이상,7.3천 개 이상,"21,245"
59위,틸 아이 다이,(Ver. 2)Terry half sleeve cardigan [2color],https://www.musinsa.com/app/goods/2516457?loc=goods_rank,2383663,여,,,23
60위,러셀 애슬레틱,아치 로고 후디드 스웨트 집업 [멜란지 그레이],https://www.musinsa.com/app/goods/1689932?loc=goods_rank,RSJTK510-MG,남,100회 이상,,106
61위,인템포무드,브이넥 하찌 베스트_터키블루,https://www.musinsa.com/app/goods/2467252?loc=goods_rank,503760,남,1.5만 회 이상,500개 이상,"1,250"
62위,무신사 스탠다드,릴렉스드 베이식 블레이저 [미디엄 그레이],https://www.musinsa.com/app/goods/1558683?loc=goods_rank,MMJJK601-MR,남,2.1만 회 이상,6.2천 개 이상,"6,838"
63위,엄브로,린넨라이크 후드 자켓 블랙 (UN221CJK51),https://www.musinsa.com/app/goods/2477385?loc=goods_rank,UN221CJK51_BLK,남,2천 회 이상,50개 미만,105
64위,86로드,2724 Washing denim jacket DARK GREY,https://www.musinsa.com/app/goods/2173686?loc=goods_rank,FRPFDJA104M,남,1.7천 회 이상,100개 이상,504
65위,커버낫,패커블 윈드브레이커 자켓 블랙,https://www.musinsa.com/app/goods/2318493?loc=goods_rank,CO2201JK15BK,남 여,2.3만 회 이상,1.3천 개 이상,"2,656"
66위,오드스튜디오,AQO x ODSD 베이직 니트 가디건 - IVORY,https://www.musinsa.com/app/goods/2429528?loc=goods_rank,389274,여,500회 이상,,103
67위,파르티멘토,코드 후드 집업 자켓 스모크 그레이,https://www.musinsa.com/app/goods/1280576?loc=goods_rank,Cord Hood Zip Jacket Smoke Gray,남,5.5만 회 이상,2.4만 개 이상,"71,548"
68위,노이어,오버핏 크롭 데님 자켓 (블랙),https://www.musinsa.com/app/goods/2359414?loc=goods_rank,N22SJK06-BK,남,3.9천 회 이상,100개 이상,876
69위,스파오,배색 윈드브레이커(LIGHT GRAY)_SPJJC23C21,https://www.musinsa.com/app/goods/1751722?loc=goods_rank,SPJJC23C21,남 여,7.7만 회 이상,6.1천 개 이상,"12,736"
70위,그레이버,[UNISEX]블랙라벨 피쉬테일 오버핏 화이트클립 숏자켓 M-51_카키,https://www.musinsa.com/app/goods/1006233?loc=goods_rank,G-J-21,남,700회 이상,50개 미만,590
71위,리,트위치 로고 스탠다드 후드 집업 그레이,https://www.musinsa.com/app/goods/1737051?loc=goods_rank,LE2201HZ01GR,남 여,3.4만 회 이상,1.6만 개 이상,"37,699"
72위,리,트위치 로고 스탠다드 후드 집업 블랙,https://www.musinsa.com/app/goods/1737049?loc=goods_rank,LE2201HZ01BK,남 여,1.4만 회 이상,7.2천 개 이상,"15,124"
73위,디에봇,DS21#THREE_모직체크자켓,https://www.musinsa.com/app/goods/2146979?loc=goods_rank,체크자켓,여,,,72
74위,노스페이스,NJ3BN05K 화이트라벨 아이스런 자켓,https://www.musinsa.com/app/goods/2402188?loc=goods_rank,NJ3BN05K,남 여,800회 이상,,106
75위,프리즘웍스,OVERSIZED TWILL FIELD JACKET _ IVORY,https://www.musinsa.com/app/goods/2100766?loc=goods_rank,FZW2021FWOT037,남,1.4천 회 이상,50개 미만,212
76위,파르티멘토,피치스킨 트윌 자켓 블랙,https://www.musinsa.com/app/goods/401149?loc=goods_rank,Peach Twill Jacket,남,2.1만 회 이상,1만 개 이상,"54,693"
77위,아이러니포르노 화이트라인,[비건레더] 크루얼티프리 싱글 카라넥 레더 자켓 IRO086 아이보리,https://www.musinsa.com/app/goods/2287605?loc=goods_rank,IRO086,남 여,3.7천 회 이상,1.5천 개 이상,"8,806"
