순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
1위,커버낫,에센셜 쿨 코튼 2-PACK 티셔츠,https://www.musinsa.com/app/goods/1848166?loc=goods_rank,CO0000STE1BK,남 여,58.3만 회 이상,12만 개 이상,"108,081"
2위,라퍼지스토어,시티보이 빅오버 옥스포드 반팔 셔츠_Sky Blue,https://www.musinsa.com/app/goods/1935180?loc=goods_rank,m1037_685377,남,33.6만 회 이상,4.8만 개 이상,"51,328"
3위,수아레,[리뉴얼 ver.] 린넨 카라 하프 니트 - 8 COLOR,https://www.musinsa.com/app/goods/1954316?loc=goods_rank,1084865,남,32.6만 회 이상,1.7만 개 이상,"21,415"
4위,잇자바이브,[IBB22UT08WH] I LOVE CAT RED LETTEING T-SHIRTS WHITE,https://www.musinsa.com/app/goods/2532348?loc=goods_rank,IBB22UT08WH,여,600회 이상,,153
5위,라퍼지스토어,시티보이 빅오버 옥스포드 셔츠_Royal Blue,https://www.musinsa.com/app/goods/2024232?loc=goods_rank,m1037_685523,남,63.5만 회 이상,3.7만 개 이상,"49,845"
6위,예일,(22SS) 2 TONE ARCH TEE WHITE,https://www.musinsa.com/app/goods/1841764?loc=goods_rank,YC2SS0041WH,남 여,25.4만 회 이상,1.9만 개 이상,"36,459"
7위,마르디 메크르디,TSHIRT FLOWERMARDI_IVORY NAVY,https://www.musinsa.com/app/goods/2453556?loc=goods_rank,430770,여,23만 회 이상,1.4만 개 이상,"36,370"
8위,마르디 메크르디,TSHIRT FLOWERMARDI_WHITE GREEN,https://www.musinsa.com/app/goods/1503352?loc=goods_rank,MM20TS015,여,35.6만 회 이상,2.3만 개 이상,"55,272"
9위,폴로 랄프 로렌,커스텀 핏 리넨 셔츠 - 화이트,https://www.musinsa.com/app/goods/2406911?loc=goods_rank,MNPOWOV16820261-100,남,5.1만 회 이상,400개 이상,"2,391"
10위,리,빅 트위치 로고 티셔츠 화이트,https://www.musinsa.com/app/goods/903340?loc=goods_rank,LE2202ST01WH,남,17.8만 회 이상,6.3만 개 이상,"95,153"
11위,지오다노,011502 폴로 피케 반팔티,https://www.musinsa.com/app/goods/1871984?loc=goods_rank,011502,남,18.9만 회 이상,6.7만 개 이상,"19,817"
12위,아노블리어,루즈핏 오픈카라 텐셀 린넨 셔츠 [네이비],https://www.musinsa.com/app/goods/1008043?loc=goods_rank,AES009A15LON,남,11.2만 회 이상,2.3만 개 이상,"33,257"
13위,메종미네드,MIXED BOUCLE KNIT HALF SLEEVE BLACK,https://www.musinsa.com/app/goods/1821755?loc=goods_rank,FMPMCTR109M,남,4.8만 회 이상,2.9천 개 이상,"7,572"
14위,팔렛,듀스 네로 반팔티 화이트,https://www.musinsa.com/app/goods/2368712?loc=goods_rank,FA2202ST28WH,남 여,13.7만 회 이상,4.7천 개 이상,"25,903"
15위,폴로 랄프 로렌,커스텀 슬림핏 메시 폴로 셔츠 - 핑크,https://www.musinsa.com/app/goods/1848792?loc=goods_rank,MNPOKNI1N820336-650,남,600회 이상,50개 미만,72
16위,비바스튜디오,BLACK CAT TEE [WHITE],https://www.musinsa.com/app/goods/2329824?loc=goods_rank,LSVT100,남,16.6만 회 이상,1.1만 개 이상,"40,515"
17위,이스트쿤스트,다운타우너_파라솔 베어즈 티셔츠 화이트(IK2CMMT521B),https://www.musinsa.com/app/goods/2525550?loc=goods_rank,IK2CMMT521BWH,남 여,2.1천 회 이상,50개 미만,171
18위,어나더 오피스,22SS Writer Shirt (Dove Gray),https://www.musinsa.com/app/goods/2553732?loc=goods_rank,AOCMSH007LG,남,6.6천 회 이상,100개 이상,249
19위,폴로 랄프 로렌,커스텀 핏 리넨 셔츠 - 네이비,https://www.musinsa.com/app/goods/2406910?loc=goods_rank,MNPOWOV16820258-410,남,1.7만 회 이상,200개 이상,967
20위,아노블리어,루즈핏 오픈카라 텐셀 린넨 셔츠 [오트밀],https://www.musinsa.com/app/goods/1008039?loc=goods_rank,AES009A11LON,남,3.3만 회 이상,7.9천 개 이상,"15,018"
21위,아웃스탠딩,V.O.C TEE (OLYMPIA)_WHITE,https://www.musinsa.com/app/goods/1882396?loc=goods_rank,21SS_TOP_062,남,6.2만 회 이상,1.2만 개 이상,"16,211"
22위,라퍼지스토어,시티보이 빅오버 옥스포드 셔츠_Neutral Gray,https://www.musinsa.com/app/goods/2024212?loc=goods_rank,m1037_685519,남,22만 회 이상,1.9만 개 이상,"24,060"
23위,예일,[ONEMILE WEAR] 2PACK SMALL ARCH TEE WHITE / BLACK,https://www.musinsa.com/app/goods/2442409?loc=goods_rank,YC1SS1021BK,남 여,22.7만 회 이상,1.6만 개 이상,"18,803"
24위,파르티멘토,[세트][선택] 스톤 워싱 데님 셋업 블루,https://www.musinsa.com/app/goods/2524570?loc=goods_rank,[SET][선택] Stone Washing Denim Set-Up Blue,남,20.7만 회 이상,3.5천 개 이상,"5,358"
25위,암피스트,DTRO+AFST W-Movie Club S/S Tee Vintage Black,https://www.musinsa.com/app/goods/2566634?loc=goods_rank,S Tee Vintage Black,남,5.3천 회 이상,200개 이상,382
26위,트래블,미시간 울버린 피그먼트  반팔티 블랙차콜,https://www.musinsa.com/app/goods/1884943?loc=goods_rank,TRTOASURS12UC5,남 여,32.3만 회 이상,6.2만 개 이상,"68,386"
27위,와릿이즌,스몰 사인로고 반팔 티셔츠 블랙,https://www.musinsa.com/app/goods/748056?loc=goods_rank,MG2200ST02BK,남 여,4.9만 회 이상,1만 개 이상,"25,415"
28위,라퍼지스토어,시티보이 빅오버 옥스포드 셔츠_Off White,https://www.musinsa.com/app/goods/2024234?loc=goods_rank,m1037_685524,남,12.7만 회 이상,1.3만 개 이상,"15,843"
29위,라퍼지스토어,시티보이 빅오버 옥스포드 반팔 셔츠_White,https://www.musinsa.com/app/goods/1935174?loc=goods_rank,m1037_685375,남,11.1만 회 이상,1.5만 개 이상,"15,565"
30위,페플,[패키지][페플] 스탠드 얼론 + 보드마스터 그래픽 티셔츠 2PACK ( JDST1315+JDST1358),https://www.musinsa.com/app/goods/1921901?loc=goods_rank,2125031,남,5.4만 회 이상,4.5천 개 이상,"7,366"
31위,예일,(22SS) EMBROIDERY UNIVERSITY DAN TEE WHITE,https://www.musinsa.com/app/goods/1886950?loc=goods_rank,YC2SS0031WH,남 여,8.2만 회 이상,5만 개 이상,"43,650"
